gbifID	ownerInstitutionCode	year	collectionCode	accessRights	type	basisOfRecord	catalogNumber	continent	country	stateProvince	county	decimalLatitude	decimalLongitude	higherGeography	higherGeographyID	locality	maximumElevationInMeters	minimumElevationInMeters	lifeStage	sex	preparations	higherClassification	kingdom	phylum	family	class	order	genus	specificEpithet	scientificName	vernacularName	identifiedBy
980583079		1993	EBIRD			HumanObservation	OBS249484940		Hong Kong	Hong Kong		22.4954	114.027			Hong Kong Mai Po mudlfat hide							Animalia	Chordata	Scolopacidae	Aves	Charadriiformes	Calidris	pygmea	Calidris pygmea	Spoon-billed Sandpiper	
665877126	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167912	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886498	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167953	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877136	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167922	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877114	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167900	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886486	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167926	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Male	skull	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877137	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167923	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877128	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167914	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877148	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167939	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877115	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167901	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	skull	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
