Date,City,State,Shape,Duration,Summary,Posted
9/26/14,Norfolk,MA,Circle,2 minutes,Purple light in sky.,10/3/14
9/26/14,Dedham,MA,Other,hours,Traveled east to west.,10/3/14
9/23/14,Lawrence,MA,Circle,2 hours,Two orange light traveling fast.,9/25/14
9/22/14,New Bedford,MA,Oval,4-5 minutes,"Around 9:30 pm my son and I were outside cooking on the grill, it was a fairly clear evening . We noticed how bright the stars were. We",10/3/14
9/22/14,Framingham,MA,Other,1 minute,I was driving on I-90 East bound when i saw a small contrail in the sky like if it was a plane but because it was moving so much faster,10/3/14
9/22/14,Yarmouth,MA,Light,~1-2 minutes,We were traveling south on the highway going to work. I noticed a dim light traveling to the left in the sky. It suddenly got extremely,9/25/14
9/20/14,Bellingham,MA,Sphere,5 minutes,"When driving on a back road we noticed an orange ""ball"" like light in the sky.  It was an absolute clear night.",9/25/14
9/19/14,Lincoln,MA,Fireball,15,"3 orange orbs about 100 yards away in sky. hovering and moving in formation. mesmerizing. orange, not overly bright. other drivers saw.",10/3/14
9/18/14,Maynard,MA,Unknown,5 minutes,Traveling on Waltham Street toward Stow when I saw a bright blue light hovering above the Fire Dept approximately 200 feet in the air.,9/25/14
9/16/14,Webster,MA,Formation,10-15 seconds,"5 Bright Light Orbs in Webster, MA.",9/18/14
9/15/14,West Boylston,MA,Fireball,5 minutes,"Orange-reddish ""fireball"" has repeatedly passed over our yard.",9/18/14
9/15/14,Palmer,MA,Sphere,60 minutes,"Blue/white/red/green sphere hoevering, sparkling light in its vacinity.",9/18/14
9/14/14,Nantucket,MA,Light,1 minute,Red light seen in skies above Nantucket.,9/18/14
9/12/14,Quincy,MA,Changing,60 seconds,"Object floating  in place with blinking red light, radically flopping around never seen anything like this before.",9/18/14
9/11/14,Peabody,MA,Rectangle,2 weeks,"Blue and red blinking lights, not moving, appears as a satellite.",9/18/14
9/7/14,Hull,MA,Sphere,45 seconds,"Orange light seen twice over Hull, MA, Sept 2014.",9/18/14
9/7/14,West Springfield,MA,Fireball,2 minutes,"From the parking lot of jj's soft serve looking into the sky towards agawam, I saw a fireball with an orange tail very distinctly. Ther",9/10/14
9/4/14,Lawrence,MA,Light,5 minutes,Red star-like object moving in the sky. Two spotted twice and then 3 single ones after those.,9/5/14
9/4/14,Marshfield,MA,Light,1 minutes,Saw one solid light that gave the appearance of being collectively among the stars while gazing up. This light moved at a great speed.,9/5/14
9/4/14,Lawrence,MA,Light,10 minutes,Solid orange lights moving across sky.,9/5/14
9/4/14,New Bedford,MA,Light,10 minutes,I was traveling to the store on Brock Avenue when I noticed a white light it was not a star because it was to close to the earth.,9/5/14
9/4/14,Lawrence,MA,Light,1 hour,"Two bright lights moving in circular motion over Lawrence, MA.",9/5/14
9/1/14,Revere,MA,Light,5,14 flashing lights sets of two's in a row above revere beach sky.,9/5/14
8/29/14,Yarmouth Port,MA,Other,45 seconds,3 white star light objects approached 3 WITNESSES in undeniable synchronized deliberate actions.,12/12/14
8/29/14,Lynn,MA,Light,8 minutes,Very low very bright amber/red ball of light up close and personal sighting.,10/10/14
8/29/14,Shrewsbury,MA,Formation,3 minutes,From the angle I was viewing they were in the shape of the big dipper there were 8 very bright orange lights traveling north in the sky,8/31/14
8/28/14,Pittsfield,MA,Circle,2-3 minutes,Two small points of light travelling smoothly in same direction fade in and out,8/29/14
8/28/14,Marlborough,MA,Cigar,30 seconds,"Cigar shaped silver object flying low and slow over Marlborough, MA at approximately 10 a.m. on 8/28/14.",8/29/14
8/27/14,Hyannis,MA,Sphere,20-25 seconds,Again the orange orb appeared; sighting number two.,8/29/14
8/27/14,Taunton,MA,Oval,5 minutes,Bright Green UFO.,8/29/14
8/25/14,Warwick,MA,Flash,25,We do not know what we saw!,8/29/14
8/24/14,Norfolk,MA,Light,20 minutes,Bright blue light hovering around old airport.,8/29/14
8/24/14,Amherst,MA,Fireball,minutes,Two glowing orbs seen moving quickly and inter-weaving over tree tops.,8/29/14
8/23/14,Everett,MA,Light,1 minute,Red/orange light.,8/29/14
8/22/14,Shirley,MA,Circle,2 minutes,i went outside and automatically notice a bright light coming from the night sky.,8/29/14
8/22/14,Lancaster,MA,Cylinder,3 minutes,4 bright craft hovering in sky.,8/29/14
8/20/14,Duxbury,MA,Circle,Several hours,Several orange orbs observed in the sky in forest.,9/5/14
8/20/14,Hyannis,MA,Changing,5 minutes,Hyannis- Red light seen from Ocean St..,8/29/14
8/20/14,Adams,MA,Circle,20 minutes,FOUR ORANGE/RED CIRCULAR OBJECTS GOING INTO THE SKY FROM MOUNTAIN RANGE.,8/22/14
8/19/14,West Roxbury,MA,Unknown,4 minutes,Bright white light no blinking lights no sound.,8/22/14
8/19/14,Boston,MA,Disk,1 hour,Disk with blue lights sequencing with white light emanating in spray in Boston MA 8/19/14 330 AM.,8/22/14
8/16/14,Holden,MA,Oval,~60 seconds,"Three Golden or Deep Yellow Oval lights over Holden, Massachusetts.",8/22/14
8/16/14,Dennis,MA,Circle,2 minutes,"Two circular horizontal flying crafts, came one after another following the same path.",8/22/14
8/15/14,Walpole,MA,Rectangle,5 mins,Rectangular helicopter like object.,8/22/14
8/14/14,Provincetown,MA,Circle,5:00,"Sitting on my couch, looked out the window and over the bay and ocean of Provincetown, I saw 5 bright objects moving in th sky.",8/15/14
8/14/14,Northborough,MA,Unknown,45 seconds,Military chopper pursues a UFO over central Massachusetts.,8/15/14
8/14/14,Bernardston,MA,Unknown,5 minutes,"Array of blinking white lights in an arc, hovering at low altitude. Near Exit 28 on Route 91  in MA.",8/22/14
8/11/14,Boston,MA,Light,1-2 minutes,"Three points of white light moved across the cloudy sky, one flashed once, and when their paths met they shook.",8/15/14
8/9/14,North Brookfield,MA,Light,1 minute,Saw 5 orange lights in sky move southeast and then straight up.,8/15/14
8/8/14,Dennis Port,MA,Circle,3 minutes,I saw a flying fireball fly horizontally for 3 minutes!,8/15/14
8/8/14,Worcester,MA,Unknown,2 minutes,Two balls of orange light.,8/13/15
8/6/14,Rockport,MA,Cigar,~2 minutes,"Craft sighted that looked like airplane, then emitted big blue ball of light and vanished.",8/8/14
8/3/14,Hyannis,MA,Fireball,2 minutes,Two red/orange fireballs over Nantucket Sound seen from Hyannis.,8/8/14
8/3/14,Franklin,MA,Other,10 minutes,"Bat-shaped glider over Franklin, MA.",8/8/14
8/2/14,Tyngsboro,MA,Diamond,5 minutes,6 lights shaped like a diamond.,8/8/14
8/2/14,Fairhaven,MA,Light,10 minutes,Orange/peach colored flickering light floating from south to north along the east side of Sconticut Neck.,8/8/14
8/1/14,Lowell,MA,Light,2 minutes,"Quiet, fast moving light across the night sky.",8/22/14
